Municípios,"Mesorregião dos municípios
",Total de domicílios,"Domicílios com cobertura de abastecimento de água pela rede geral, por município","Domicílios com cobertura de abastecimento de água pela rede geral, por município (%)","Número de domicílios com cobertura de esgotamento sanitário pela rede geral, por município ","Domicílios com cobertura de esgotamento sanitário pela rede geral, por município (%)","Domicílios sem nenhum tipo de esgotamento sanitário, por município ","Domicílios sem nenhum tipo de esgotamento sanitário, por município (%)","Número de domicílios com cobertura de energia elétrica pela rede geral, por município","Domicílios com cobertura de energia elétrica pela rede geral, por município(%)","Domicílios sem nenhuma fonte de energia elétrica, por município","Domicílios sem nenhuma fonte de energia elétrica, por município (%)",Taxa de mortalidade infantil por município,Renda per capita por município,"Taxa de alfabetização da população de 10 anos ou mais, por município",Índice de desenvolvimento humano municipal por município,Índice de gini por município
Abreu e Lima,METROPOLITANA DE RECIFE,28138,"25,740",91.48,"9,539",33.90,226,0.80%,"28,098",99.86,40,0.14%,6.66,390.40,90.45,0.679,0.45
Afogados da Ingazeira,SERTÃO PERNAMBUCANO,10876,"8,837",81.25,"7,525",69.19,627,5.76%,"10,819",99.48,57,0.52%,8.53,386.56,79,0.657,0.56
Afrânio,SÃO FRANCISCO PERNAMBUCANO,4730,"1,972",41.69,618,13.07,"1,324",27.99%,"4,636",98.01,94,1.99%,35.43,233.59,77.28,0.588,0.53
Agrestina,AGRESTE PERNAMBUCANO,6871,"5,586",81.30,"4,259",61.99,183,2.66%,"6,815",99.18,56,0.82%,18.46,297.02,70.63,0.592,0.48
Água Preta,MATA PERNAMBUCANA,7730,"4,580",59.25,"2,603",33.67,"1,082",14.00%,"7,634",98.76,96,1.24%,9.41,195.47,71.95,0.553,0.49
Águas Belas,AGRESTE PERNAMBUCANO,10814,"6,804",62.92,"3,005",27.79,"2,158",19.96%,"10,614",98.15,200,1.85%,15.63,239.30,62.51,0.526,0.58
Alagoinha,AGRESTE PERNAMBUCANO,4107,"1,537",37.42,"1,883",45.85,301,7.33%,"4,083",99.42,24,0.58%,26.32,275.50,75.25,0.599,0.49
Aliança,MATA PERNAMBUCANA,10291,"8,486",82.46,"4,582",44.52,217,2.11%,"10,209",99.20,82,0.80%,13.46,269.86,74.81,0.604,0.49
Altinho,AGRESTE PERNAMBUCANO,7050,"4,340",61.56,"3,677",52.16,"1,069",15.16%,"7,001",99.30,49,0.70%,8.1,259.21,68.54,0.598,0.51
Amaraji,MATA PERNAMBUCANA,6175,"4,387",71.04,"2,588",41.91,733,11.87%,"6,107",98.90,68,1.10%,7.66,286.59,71.74,0.58,0.5
Angelim,AGRESTE PERNAMBUCANO,2998,"1,958",65.31,"1,336",44.56,165,5.50%,"2,972",99.13,26,0.87%,13.99,253.26,69.46,0.572,0.58
Araçoiaba,METROPOLITANA DE RECIFE,4823,"2,780",57.64,252,5.22,144,2.99%,"4,788",99.27,35,0.73%,22.01,236.10,78.22,0.592,0.45
Araripina,SERTÃO PERNAMBUCANO,20609,"11,444",55.53,"8,313",40.34,"4,509",21.88%,"20,161",97.83,448,2.17%,15.32,324.01,76.92,0.602,0.56
Arcoverde,SERTÃO PERNAMBUCANO,20150,"17,654",87.61,"16,779",83.27,481,2.39%,"20,026",99.38,124,0.62%,10.2,469.53,83.77,0.667,0.58
Barra de Guabiraba,AGRESTE PERNAMBUCANO,3353,"2,894",86.31,"2,165",64.57,49,1.46%,"3,329",99.28,24,0.72%,20.2,257.40,68.46,0.577,0.51
Barreiros,MATA PERNAMBUCANA,10440,"7,403",70.91,"3,642",34.89,625,5.99%,"10,378",99.41,62,0.59%,15.13,263.20,77.83,0.586,0.54
Belém de Maria,MATA PERNAMBUCANA,3034,"1,603",52.83,"1,229",40.51,153,5.04%,"3,018",99.47,16,0.53%,6.62,226.82,71.24,0.578,0.47
Belém do São Francisco,SÃO FRANCISCO PERNAMBUCANO,5021,"3,269",65.11,"1,796",35.77,"1,587",31.61%,"4,866",96.91,155,3.09%,9.87,357.77,80.15,0.642,0.63
Belo Jardim,AGRESTE PERNAMBUCANO,22192,"19,577",88.22,"15,673",70.62,878,3.96%,"22,092",99.55,100,0.45%,9.76,372.93,77.19,0.629,0.51
Betânia,SERTÃO PERNAMBUCANO,3310,"1,930",58.31,747,22.57,793,23.96%,"3,251",98.22,59,1.78%,19.74,220.19,69.48,0.559,0.55
Bezerros,AGRESTE PERNAMBUCANO,19286,"15,774",81.79,"13,277",68.84,444,2.30%,"19,177",99.43,109,0.57%,7.78,351.75,74.32,0.606,0.52
Bodocó,SERTÃO PERNAMBUCANO,8913,"3,887",43.61,"2,061",23.12,"3,217",36.09%,"8,586",96.33,327,3.67%,19.23,234.36,72.89,0.565,0.55
Bom Conselho,AGRESTE PERNAMBUCANO,12649,"7,995",63.21,"6,893",54.49,"1,401",11.08%,"12,540",99.14,109,0.86%,14.56,305.57,68.83,0.563,0.62
Bom Jardim,AGRESTE PERNAMBUCANO,10922,"6,458",59.13,"1,393",12.75,228,2.09%,"10,870",99.52,52,0.48%,13.19,248.98,72.89,0.602,0.48
Bonito,AGRESTE PERNAMBUCANO,10807,"8,113",75.07,"6,697",61.97,646,5.98%,"10,734",99.32,73,0.68%,6.72,258.52,71.38,0.561,0.55
Brejão,AGRESTE PERNAMBUCANO,2434,"1,314",53.99,534,21.94,205,8.42%,"2,413",99.14,21,0.86%,11.7,230.85,70.99,0.547,0.49
Brejinho,SERTÃO PERNAMBUCANO,2131,"1,036",48.62,"1,000",46.93,283,13.28%,"2,105",98.78,26,1.22%,8.93,266.21,76.97,0.574,0.49
Brejo da Madre de Deus,AGRESTE PERNAMBUCANO,13255,"7,103",53.59,"6,587",49.69,"1,106",8.34%,"13,143",99.16,112,0.84%,14.57,296.70,70.54,0.562,0.47
Buenos Aires,MATA PERNAMBUCANA,3567,"2,685",75.27,298,8.35,163,4.57%,"3,544",99.36,23,0.64%,5.35,254.03,74.24,0.593,0.45
Buíque,AGRESTE PERNAMBUCANO,13121,"4,974",37.91,"3,789",28.88,"3,199",24.38%,"12,806",97.60,315,2.40%,12.94,176.76,63.39,0.527,0.57
Cabo de Santo Agostinho,METROPOLITANA DE RECIFE,53402,"46,166",86.45,"16,821",31.50,"1,039",1.95%,"53,320",99.85,82,0.15%,7.11,467.07,87.83,0.686,0.53
Cabrobó,SÃO FRANCISCO PERNAMBUCANO,8175,"6,459",79.01,"4,813",58.87,"1,559",19.07%,"8,061",98.61,114,1.39%,3.93,298.14,78.43,0.623,0.58
Cachoeirinha,AGRESTE PERNAMBUCANO,5870,"3,942",67.16,"4,221",71.91,222,3.78%,"5,846",99.59,24,0.41%,9.62,308.18,70.55,0.579,0.48
Caetés,AGRESTE PERNAMBUCANO,6990,"1,653",23.65,"1,687",24.13,683,9.77%,"6,936",99.23,54,0.77%,6.86,176.77,65.48,0.522,0.6
Calçado,AGRESTE PERNAMBUCANO,3119,"1,307",41.90,"1,105",35.43,121,3.88%,"3,103",99.49,16,0.51%,-,215.47,70.94,0.566,0.53
Calumbi,SERTÃO PERNAMBUCANO,1649,"1,248",75.68,605,36.69,259,15.71%,"1,636",99.21,13,0.79%,-,272.66,70.23,0.571,0.54
Camaragibe,METROPOLITANA DE RECIFE,42262,"34,558",81.77,"8,786",20.79,182,0.43%,"42,198",99.85,64,0.15%,14.91,473.78,89.7,0.692,0.51
Camocim de São Félix,AGRESTE PERNAMBUCANO,5205,"4,377",84.09,"3,451",66.30,101,1.94%,"5,169",99.31,36,0.69%,4.03,305.53,71.25,0.588,0.53
Camutanga,MATA PERNAMBUCANA,2264,"1,971",87.06,397,17.54,201,8.88%,"2,231",98.54,33,1.46%,16.53,278.04,75.65,0.606,0.48
Canhotinho,AGRESTE PERNAMBUCANO,6633,"3,766",56.78,"3,022",45.56,566,8.53%,"6,536",98.54,97,1.46%,15.11,234.75,67.09,0.541,0.52
Capoeiras,AGRESTE PERNAMBUCANO,5127,"1,677",32.71,"1,594",31.09,729,14.22%,"5,085",99.18,42,0.82%,14.55,215.71,71.54,0.549,0.5
Carnaíba,SERTÃO PERNAMBUCANO,5380,"2,542",47.25,"2,018",37.51,950,17.66%,"5,313",98.75,67,1.25%,3.5,229.87,75.89,0.583,0.53
Carnaubeira da Penha,SÃO FRANCISCO PERNAMBUCANO,2615,490,18.74,260,9.94,"1,637",62.60%,"2,525",96.56,90,3.44%,20.08,170.02,74.74,0.573,0.56
Carpina,MATA PERNAMBUCANA,21438,"17,599",82.09,664,3.10,146,0.68%,"21,349",99.58,89,0.42%,10.81,403.76,85.1,0.68,0.5
Caruaru,AGRESTE PERNAMBUCANO,96304,"85,522",88.80,"72,948",75.75,"1,396",1.45%,"95,964",99.65,340,0.35%,9.62,553.99,85.49,0.677,0.53
Casinhas,AGRESTE PERNAMBUCANO,3640,755,20.74,407,11.18,287,7.88%,"3,604",99.01,36,0.99%,11.3,200.83,71.82,0.567,0.45
Catende,MATA PERNAMBUCANA,9975,"7,840",78.60,"6,042",60.57,857,8.59%,"9,904",99.29,71,0.71%,10.82,292.74,74.94,0.609,0.54
Cedro,SERTÃO PERNAMBUCANO,2756,"1,712",62.12,"1,562",56.68,251,9.11%,"2,727",98.95,29,1.05%,30.3,269.64,79.94,0.615,0.56
Chã de Alegria,MATA PERNAMBUCANA,3463,"2,297",66.33,455,13.14,112,3.23%,"3,451",99.65,12,0.35%,4.12,239.04,77.59,0.604,0.44
Chã Grande,MATA PERNAMBUCANA,5914,"3,299",55.78,"2,669",45.13,301,5.09%,"5,879",99.41,35,0.59%,19.54,341.34,72.28,0.599,0.55
Condado,MATA PERNAMBUCANA,6743,"3,087",45.78,140,2.08,101,1.50%,"6,696",99.30,47,0.70%,10.81,297.68,75.06,0.602,0.53
Correntes,AGRESTE PERNAMBUCANO,4348,"2,665",61.29,"1,570",36.11,383,8.81%,"4,301",98.92,47,1.08%,31.67,247.20,70.34,0.536,0.52
